"","hhid","ffexwkpc","lny","mothed","fathed","mothage","fathage","nutrsc1","qrpcorn","qrprice","popden","adeqvhh","rd1","rd2","rd3","cultarpc","avnetwth","electr"
"815",262,29.04966,3.110959,6,1,35.675,43.39167,5,3.842911,5.604138,223,6.01938,0,0,1,0.203125,14012,0
"816",262,22.45235,3.110959,6,1,35.675,43.67222,5,3.511398,5.704013,223,6.174418,0,0,0,0.1805556,14012,0
"817",263,28.51206,3.429572,5,5,32.73611,36.88611,3,3.520728,5.75936,223,5.550387,1,0,0,0.3392857,4572.5,0
"818",263,17.32194,3.429572,5,5,32.73611,37.11666,3,3.961801,3.562747,223,5.562016,0,1,0,0.296875,4572.5,0
"819",263,18.40859,3.429572,5,5,32.73611,37.47222,3,4.601842,5.32245,223,5.507752,0,0,1,0.296875,4572.5,0
"820",263,17.1002,3.429572,5,5,32.73611,37.75834,3,3.507642,6.596442,223,5.507752,0,0,0,0.296875,4572.5,0
"821",264,17.23112,2.671371,7,4,38.00555,38.00834,5,3.300348,5.834427,223,6.449613,1,0,0,0.2777778,5010,0
"822",264,17.56772,2.671371,7,4,38.00555,38.20833,5,4.390823,4.940693,223,6.957365,0,1,0,0.2777778,5010,0
"823",264,13.42942,2.671371,7,4,38.00555,38.59722,5,4.017476,5.414752,223,6.786822,0,0,1,0.2777778,5010,0
"824",264,21.65222,2.671371,7,4,38.00555,38.89722,5,3.541495,5.759811,223,6.949613,0,0,0,0.2777778,5010,0
"825",265,15.15731,3.944197,5,0,41.75555,45.09723,7,3.206668,5.862095,223,8.546512,1,0,0,0.3,15659,0
"826",265,18.4518,3.944197,5,0,41.75555,45.32222,7,3.830425,5.072241,223,8.546512,0,1,0,0.3,15659,0
"827",265,21.85314,3.944197,5,0,41.75555,45.69167,7,4.125881,4.689303,223,8.620155,0,0,1,0.2727273,15659,0
"828",265,26.06599,3.944197,5,0,41.75555,45.97223,7,3.479681,6.531868,223,7.585271,0,0,0,0.3,15659,0
